log_nH,log_U,OIII_Hb,NII_Ha,SII_Ha
3.6666666666666665,-1.0,1.7866666666666666,-0.13369820172009383,-2.0719311962470686
4.111111111111111,-4.0,2.206203331418725,1.3987587276958884,3.6920093095422812
4.111111111111111,-3.6666666666666665,2.002840909090909,1.466597077244259,4.348643006263049
4.111111111111111,-3.3333333333333335,1.7032558139534884,1.6463999999999999,5.8
4.111111111111111,-3.0,1.2955465587044535,2.452054794520548,10.886986301369863
4.111111111111111,-2.666666666666667,0.6240786240786241,-11.357142857142856,-67.6190476190476
4.111111111111111,-2.3333333333333335,-4.178082191780822,-0.7393617021276596,-6.901595744680851
4.111111111111111,-2.0,2.9277566539923954,-0.12219101123595505,-3.4087078651685396
4.111111111111111,-1.666666666666667,1.981636060100167,0.08579599618684462,-2.215443279313632
4.111111111111111,-1.3333333333333335,1.703108252947481,0.13935018050541517,-1.6490974729241876
4.111111111111111,-1.0,1.5651144435674824,0.06445993031358885,-1.3397212543554007
4.555555555555555,-4.0,2.5643793369313803,1.6434474616292798,5.237308146399055
4.555555555555555,-3.6666666666666665,2.386128364389234,1.9360465116279069,7.498062015503876
4.555555555555555,-3.3333333333333335,2.0901898734177213,3.4184782608695654,18.206521739130437
4.555555555555555,-3.0,1.5369127516778525,-2.161073825503356,-19.604026845637584
4.555555555555555,-2.666666666666667,6.638888888888889,-0.18219461697722567,-5.370600414078676
4.555555555555555,-2.3333333333333335,2.1297297297297297,0.13080684596577016,-2.8850855745721278
4.555555555555555,-2.0,1.7677053824362607,0.25476603119584057,-1.9072790294627384
4.555555555555555,-1.666666666666667,1.6013448607108551,0.30985915492957744,-1.4124748490945673
4.555555555555555,-1.3333333333333335,1.504360465116279,0.2964989059080963,-1.135667396061269
4.555555555555555,-1.0,1.4426900584795321,0.2012927054478301,-0.9750692520775625
5.0,-4.0,3.3302107728337234,2.65679012345679,10.444444444444443
5.0,-3.6666666666666665,3.496168582375479,9.324324324324325,49.770270270270274
5.0,-3.3333333333333335,4.470899470899471,-1.2596899224806202,-12.32170542635659
5.0,-3.0,0.0896551724137931,-0.04054054054054054,-4.66722972972973
5.0,-2.666666666666667,1.4676409185803758,0.22270270270270268,-2.644324324324324
5.0,-2.3333333333333335,1.5350553505535056,0.3182539682539683,-1.7603174603174603
5.0,-2.0,1.485639686684073,0.3681903569192235,-1.292423293675642
5.0,-1.666666666666667,1.4309764309764308,0.39058458354888775,-1.0212105535437144
5.0,-1.3333333333333335,1.3908741066520065,0.3651982378854625,-0.8590308370044053
